age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_level
74,State-gov,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,high_income
41,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,60,NA,high_income
45,Private,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,high_income
52,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,high_income
32,Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,high_income
46,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,high_income
45,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,high_income
57,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,high_income
34,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,high_income
37,Self-emp-inc,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,high_income
38,Private,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States,high_income
23,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States,high_income
59,Self-emp-inc,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,high_income
52,Private,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,high_income
51,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,high_income
63,Federal-gov,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,high_income
51,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,high_income
37,Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,high_income
54,Private,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,high_income
43,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,high_income
51,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,high_income
43,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,high_income
48,Private,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,high_income
40,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,high_income
50,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,high_income
51,State-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,high_income
42,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,high_income
39,Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States,high_income
53,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States,high_income
38,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,high_income
43,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,high_income
50,Self-emp-inc,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,high_income
51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,high_income
60,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,70,NA,high_income
55,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece,high_income
39,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States,high_income
49,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,high_income
41,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,high_income
55,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,high_income
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,high_income
46,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,high_income
40,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,high_income
32,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,high_income
41,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,high_income
31,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,high_income
58,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States,high_income
37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,high_income
44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,high_income
43,Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,NA,high_income
44,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,high_income
39,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,India,high_income
46,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,United-States,high_income
62,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,United-States,high_income
31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,United-States,high_income
46,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,Philippines,high_income
46,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,high_income
39,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2415,40,United-States,high_income
39,Private,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,2415,99,United-States,high_income
59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,high_income
46,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,United-States,high_income
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,40,United-States,high_income
50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,30,United-States,high_income
