smoothness,Laplace,.metric,.estimator,mean,n,std_err,.config
0.5,0,pr_auc,binary,0.9645058863082926,5,6.930946308534336e-4,pre0_mod01_post0
0.5,0.5,pr_auc,binary,0.9645058863082926,5,6.930946308534336e-4,pre0_mod02_post0
0.5,1,pr_auc,binary,0.9645058863082926,5,6.930946308534336e-4,pre0_mod03_post0
0.5,2,pr_auc,binary,0.9645058863082926,5,6.930946308534336e-4,pre0_mod04_post0
1,0,pr_auc,binary,0.963804261322287,5,6.799896254169902e-4,pre0_mod05_post0
1,0.5,pr_auc,binary,0.963804261322287,5,6.799896254169902e-4,pre0_mod06_post0
1,1,pr_auc,binary,0.963804261322287,5,6.799896254169902e-4,pre0_mod07_post0
1,2,pr_auc,binary,0.963804261322287,5,6.799896254169902e-4,pre0_mod08_post0
2,0,pr_auc,binary,0.9629864313341656,5,6.47038407624738e-4,pre0_mod09_post0
2,0.5,pr_auc,binary,0.9629864313341656,5,6.47038407624738e-4,pre0_mod10_post0
