mtry,min_n,.metric,.estimator,mean,n,std_err,.config
14,40,pr_auc,binary,0.9703745633901604,5,5.118303105783094e-4,pre0_mod12_post0
6,19,pr_auc,binary,0.970288119007861,5,5.877908348962822e-4,pre0_mod05_post0
9,36,pr_auc,binary,0.9702677690022714,5,5.305738431344784e-4,pre0_mod07_post0
5,5,pr_auc,binary,0.9702445714279837,5,6.355945903059293e-4,pre0_mod04_post0
7,27,pr_auc,binary,0.9702185750256327,5,5.685904530833952e-4,pre0_mod06_post0
19,35,pr_auc,binary,0.9702138219474483,5,5.030406484118062e-4,pre0_mod16_post0
25,38,pr_auc,binary,0.9701960498400279,5,4.7663265515423766e-4,pre0_mod21_post0
13,30,pr_auc,binary,0.9701009090496439,5,5.772015820248756e-4,pre0_mod11_post0
30,32,pr_auc,binary,0.9699870049063508,5,4.3798527731573586e-4,pre0_mod25_post0
10,11,pr_auc,binary,0.9699496220602365,5,5.179388823914603e-4,pre0_mod08_post0
